OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
1,04/08/2020 10:00:00 AM,0,0,0,4,4,16,26,39,35,
2,04/09/2020 10:00:00 AM,0,0,0,4,4,16,28,43,43,
3,04/10/2020 10:00:00 AM,0,0,0,5,5,20,32,51,58,
4,04/11/2020 10:00:00 AM,0,0,1,8,5,22,42,57,71,
5,04/12/2020 10:00:00 AM,0,0,1,9,5,25,51,65,79,
6,04/13/2020 10:00:00 AM,0,0,1,9,5,26,58,73,90,
7,04/14/2020 10:00:00 AM,0,0,1,11,6,29,69,83,103,0
8,04/15/2020 10:00:00 AM,0,0,1,5,5,18,53,71,107,89
9,04/16/2020 10:00:00 AM,0,0,2,6,6,23,61,77,123,94
10,04/17/2020 10:00:00 AM,0,0,2,8,7,24,68,87,141,88
11,04/18/2020 10:00:00 AM,0,0,2,8,9,24,72,93,153,102
12,04/19/2020 10:00:00 AM,0,0,2,12,10,30,78,109,169,76
13,04/20/2020 10:00:00 AM,0,0,2,12,10,33,80,115,185,79
14,04/21/2020 10:00:00 AM,0,0,2,11,12,34,84,135,201,105
15,04/22/2020 10:00:00 AM,0,0,2,12,12,39,90,150,228,98
16,04/23/2020 10:00:00 AM,0,0,3,12,15,43,93,167,247,100
17,04/24/2020 10:00:00 AM,0,0,3,13,17,46,102,174,267,101
18,04/25/2020 10:00:00 AM,0,0,4,12,18,54,113,183,298,115
19,04/26/2020 10:00:00 AM,0,0,4,12,18,54,117,185,305,132
20,04/27/2020 10:00:00 AM,0,0,5,13,18,60,134,210,345,73
21,04/28/2020 10:00:00 AM,0,0,6,13,19,61,139,219,377,95
22,04/29/2020 10:00:00 AM,0,0,7,14,24,65,152,234,413,76
23,04/30/2020 10:00:00 AM,0,0,8,14,26,68,161,251,444,75
24,05/01/2020 10:00:00 AM,0,0,8,14,28,68,164,259,453,104
25,05/02/2020 10:00:00 AM,0,0,8,16,28,76,176,285,490,77
26,05/03/2020 10:00:00 AM,0,0,8,16,30,83,186,292,506,61
27,05/04/2020 10:00:00 AM,0,0,8,17,30,85,191,296,519,70
28,05/05/2020 10:00:00 AM,0,0,9,17,32,86,199,311,553,83
29,05/06/2020 10:00:00 AM,0,0,9,17,33,87,207,325,585,75
30,05/07/2020 10:00:00 AM,0,0,9,17,35,89,215,336,610,90
31,05/08/2020 10:00:00 AM,0,0,10,17,35,90,220,356,635,90
32,05/09/2020 10:00:00 AM,0,0,10,19,37,98,230,363,657,96
