OBJECTID,DATE,Male,Female,Unknown
1,04/08/2020 10:00:00 AM,78,46,
2,04/09/2020 10:00:00 AM,85,53,
3,04/10/2020 10:00:00 AM,102,69,
4,04/11/2020 10:00:00 AM,121,85,
5,04/12/2020 10:00:00 AM,136,99,
6,04/13/2020 10:00:00 AM,145,117,
7,04/14/2020 10:00:00 AM,165,137,
8,04/15/2020 10:00:00 AM,185,164,
9,04/16/2020 10:00:00 AM,205,187,
10,04/17/2020 10:00:00 AM,227,198,
11,04/18/2020 10:00:00 AM,244,218,1
12,04/19/2020 10:00:00 AM,261,224,1
13,04/20/2020 10:00:00 AM,274,242,0
14,04/21/2020 10:00:00 AM,314,270,0
15,04/22/2020 10:00:00 AM,339,292,0
16,04/23/2020 10:00:00 AM,360,320,0
17,04/24/2020 10:00:00 AM,373,350,0
18,04/25/2020 10:00:00 AM,412,385,0
19,04/26/2020 10:00:00 AM,427,400,0
20,04/27/2020 10:00:00 AM,446,412,0
21,04/28/2020 10:00:00 AM,480,449,0
22,04/29/2020 10:00:00 AM,502,483,0
23,04/30/2020 10:00:00 AM,538,509,0
24,05/01/2020 10:00:00 AM,567,531,0
25,05/02/2020 10:00:00 AM,602,554,0
26,05/03/2020 10:00:00 AM,616,566,0
27,05/04/2020 10:00:00 AM,635,581,0
28,05/05/2020 10:00:00 AM,671,619,0
29,05/06/2020 10:00:00 AM,690,648,0
30,05/07/2020 10:00:00 AM,722,679,0
31,05/08/2020 10:00:00 AM,747,706,0
32,05/09/2020 10:00:00 AM,771,739,0
33,05/10/2020 10:00:00 AM,790,748,0
34,05/11/2020 10:00:00 AM,806,767,0
35,05/12/2020 10:00:00 AM,838,805,0
36,05/13/2020 10:00:00 AM,856,838,0
37,05/14/2020 10:00:00 AM,877,871,0
38,05/15/2020 10:00:00 AM,902,890,0
39,05/16/2020 10:00:00 AM,927,915,0
40,05/17/2020 10:00:00 AM,945,931,0
41,05/18/2020 10:00:00 AM,963,940,0
42,05/19/2020 10:00:00 AM,996,967,0
43,05/20/2020 10:00:00 AM,"1,017",987,0
44,05/21/2020 10:00:00 AM,"1,037","1,008",0
45,05/22/2020 10:00:00 AM,"1,054","1,038",0
46,05/23/2020 10:00:00 AM,"1,074","1,056",0
47,05/24/2020 10:00:00 AM,"1,094","1,068",0
48,05/25/2020 10:00:00 AM,"1,110","1,077",0
49,05/26/2020 10:00:00 AM,"1,126","1,091",0
50,05/27/2020 10:00:00 AM,"1,149","1,121",0
51,05/28/2020 10:00:00 AM,"1,170","1,137",0
52,05/29/2020 10:00:00 AM,"1,192","1,156",0
53,05/30/2020 10:00:00 AM,"1,214","1,176",0
54,05/31/2020 10:00:00 AM,"1,227","1,184",0
55,06/01/2020 10:00:00 AM,"1,238","1,193",0
56,06/02/2020 10:00:00 AM,"1,255","1,219",0
57,06/03/2020 10:00:00 AM,"1,278","1,241",0
58,06/04/2020 10:00:00 AM,"1,293","1,253",0
59,06/05/2020 10:00:00 AM,"1,314","1,266",0
60,06/06/2020 10:00:00 AM,"1,332","1,284",0
61,06/07/2020 10:00:00 AM,"1,337","1,288",0
62,06/08/2020 10:00:00 AM,"1,353","1,300",0
63,06/09/2020 10:00:00 AM,"1,374","1,312",0
64,06/10/2020 10:00:00 AM,"1,390","1,329",0
65,06/11/2020 10:00:00 AM,"1,408","1,342",0
66,06/12/2020 10:00:00 AM,"1,413","1,360",0
67,06/13/2020 10:00:00 AM,"1,429","1,370",0
68,06/14/2020 10:00:00 AM,"1,436","1,375",0
69,06/15/2020 10:00:00 AM,"1,436","1,381",0
70,06/16/2020 10:00:00 AM,"1,458","1,393",0
71,06/17/2020 10:00:00 AM,"1,468","1,398",0
72,06/18/2020 10:00:00 AM,"1,479","1,407",0
73,06/19/2020 10:00:00 AM,"1,486","1,415",0
74,06/20/2020 10:00:00 AM,"1,497","1,426",0
75,06/21/2020 10:00:00 AM,"1,504","1,433",0
76,06/22/2020 10:00:00 AM,"1,508","1,437",0
77,06/23/2020 10:00:00 AM,"1,517","1,446",0
78,06/24/2020 10:00:00 AM,"1,525","1,453",0
79,06/25/2020 10:00:00 AM,"1,537","1,464",0
80,06/26/2020 10:00:00 AM,"1,542","1,473",0
81,06/27/2020 10:00:00 AM,"1,547","1,483",0
82,06/28/2020 10:00:00 AM,"1,554","1,488",0
83,06/29/2020 10:00:00 AM,"1,558","1,490",0
84,06/30/2020 10:00:00 AM,"1,567","1,495",0
85,07/01/2020 10:00:00 AM,"1,575","1,502",0
86,07/02/2020 10:00:00 AM,"1,581","1,505",0
87,07/03/2020 10:00:00 AM,"1,581","1,518",0
88,07/04/2020 10:00:00 AM,"1,586","1,525",0
89,07/05/2020 10:00:00 AM,"1,587","1,531",0
90,07/06/2020 10:00:00 AM,"1,588","1,533",0
91,07/07/2020 10:00:00 AM,"1,593","1,547",0
92,07/08/2020 10:00:00 AM,"1,597","1,552",0
93,07/09/2020 10:00:00 AM,"1,603","1,557",0
94,07/10/2020 10:00:00 AM,"1,609","1,563",0
95,07/11/2020 10:00:00 AM,"1,613","1,566",0
96,07/12/2020 10:00:00 AM,"1,619","1,569",0
97,07/13/2020 10:00:00 AM,"1,622","1,572",0
98,07/14/2020 10:00:00 AM,"1,627","1,575",0
99,07/15/2020 10:00:00 AM,"1,632","1,577",0
100,07/16/2020 10:00:00 AM,"1,634","1,581",0
101,07/17/2020 10:00:00 AM,"1,639","1,588",0
102,07/18/2020 10:00:00 AM,"1,643","1,595",0
103,07/19/2020 10:00:00 AM,"1,649","1,598",0
104,07/20/2020 10:00:00 AM,"1,651","1,601",0
105,07/21/2020 10:00:00 AM,"1,660","1,612",0
106,07/22/2020 10:00:00 AM,"1,664","1,612",0
107,07/23/2020 10:00:00 AM,"1,666","1,615",0
108,07/24/2020 10:00:00 AM,"1,671","1,622",0
109,07/25/2020 10:00:00 AM,"1,679","1,625",0
