OBJECTID,DATE,African_American,White,Hispanic,Asian,Other,Not_Available
1,04/06/2020 10:00:00 AM,5,14,,0,1,2
2,04/07/2020 10:00:00 AM,,,,,,
3,04/08/2020 10:00:00 AM,55,39,,6,3,21
4,04/09/2020 10:00:00 AM,61,45,,6,5,21
5,04/10/2020 10:00:00 AM,77,58,,6,7,23
6,04/11/2020 10:00:00 AM,91,72,,7,9,27
7,04/12/2020 10:00:00 AM,104,83,,8,12,28
8,04/13/2020 10:00:00 AM,120,93,0,10,15,24
9,04/14/2020 10:00:00 AM,,,,,,
10,04/15/2020 10:00:00 AM,139,109,13,10,7,71
11,04/16/2020 10:00:00 AM,153,126,15,11,8,79
12,04/17/2020 10:00:00 AM,166,137,17,13,12,80
13,04/18/2020 10:00:00 AM,183,148,20,15,14,83
14,04/19/2020 10:00:00 AM,196,159,21,15,14,81
15,04/20/2020 10:00:00 AM,207,181,26,22,16,64
16,04/21/2020 10:00:00 AM,218,201,32,21,17,95
17,04/22/2020 10:00:00 AM,289,234,69,21,10,8
18,04/23/2020 10:00:00 AM,289,258,72,21,10,30
19,04/24/2020 10:00:00 AM,289,275,40,25,17,77
20,04/25/2020 10:00:00 AM,301,296,44,29,10,117
21,04/26/2020 10:00:00 AM,305,301,46,30,11,134
22,04/27/2020 10:00:00 AM,353,328,56,33,16,72
23,04/28/2020 10:00:00 AM,365,362,58,36,15,93
24,04/29/2020 10:00:00 AM,404,390,64,36,17,74
25,04/30/2020 10:00:00 AM,431,420,67,37,17,75
26,05/01/2020 10:00:00 AM,436,436,69,38,16,103
27,05/02/2020 10:00:00 AM,482,468,70,39,18,79
28,05/03/2020 10:00:00 AM,500,486,78,39,18,61
29,05/04/2020 10:00:00 AM,503,503,81,41,18,70
30,05/05/2020 10:00:00 AM,521,537,83,44,19,86
31,05/06/2020 10:00:00 AM,542,562,91,48,17,78
32,05/07/2020 10:00:00 AM,567,580,96,48,17,93
33,05/08/2020 10:00:00 AM,595,598,101,48,17,94
34,05/09/2020 10:00:00 AM,611,622,107,49,21,100
35,05/10/2020 10:00:00 AM,631,637,109,51,22,88
36,05/11/2020 10:00:00 AM,638,645,114,52,22,102
37,05/12/2020 10:00:00 AM,656,681,124,56,22,104
38,05/13/2020 10:00:00 AM,691,704,133,58,23,85
39,05/14/2020 10:00:00 AM,708,731,137,60,22,90
40,05/15/2020 10:00:00 AM,736,746,142,61,24,83
41,05/16/2020 10:00:00 AM,760,762,150,65,22,83
42,05/17/2020 10:00:00 AM,777,779,154,67,23,76
43,05/18/2020 10:00:00 AM,792,785,156,68,24,78
44,05/19/2020 10:00:00 AM,815,817,160,69,24,78
45,05/20/2020 10:00:00 AM,839,837,163,71,25,69
46,05/21/2020 10:00:00 AM,852,855,176,74,27,61
47,05/22/2020 10:00:00 AM,874,870,181,80,26,61
48,05/23/2020 10:00:00 AM,891,886,187,81,26,59
49,05/24/2020 10:00:00 AM,899,898,191,81,28,65
50,05/25/2020 10:00:00 AM,909,913,194,83,29,59
51,05/26/2020 10:00:00 AM,921,924,199,83,30,60
52,05/27/2020 10:00:00 AM,941,944,204,85,27,69
53,05/28/2020 10:00:00 AM,952,960,208,88,29,70
54,05/29/2020 10:00:00 AM,972,982,215,89,30,60
55,05/30/2020 10:00:00 AM,986,"1,003",222,92,30,57
56,05/31/2020 10:00:00 AM,995,"1,016",226,93,31,50
57,06/01/2020 10:00:00 AM,"1,007","1,021",229,94,31,49
58,06/02/2020 10:00:00 AM,"1,019","1,039",234,96,32,54
59,06/03/2020 10:00:00 AM,"1,043","1,057",238,98,33,50
60,06/04/2020 10:00:00 AM,"1,061","1,071",243,99,32,40
61,06/05/2020 10:00:00 AM,"1,077","1,082",251,99,31,40
62,06/06/2020 10:00:00 AM,"1,092","1,101",256,101,32,34
63,06/07/2020 10:00:00 AM,"1,100","1,109",255,101,32,28
64,06/08/2020 10:00:00 AM,"1,104","1,114",258,101,32,44
65,06/09/2020 10:00:00 AM,"1,115","1,140",261,101,32,37
66,06/10/2020 10:00:00 AM,"1,123","1,154",269,103,31,39
67,06/11/2020 10:00:00 AM,"1,133","1,164",273,104,31,45
68,06/12/2020 10:00:00 AM,"1,140","1,176",284,104,32,37
69,06/13/2020 10:00:00 AM,"1,148","1,184",290,106,31,40
70,06/14/2020 10:00:00 AM,"1,154","1,192",295,107,31,32
71,06/15/2020 10:00:00 AM,"1,157","1,196",297,109,30,28
72,06/16/2020 10:00:00 AM,"1,162","1,202",301,109,31,46
73,06/17/2020 10:00:00 AM,"1,176","1,214",303,110,31,32
74,06/18/2020 10:00:00 AM,"1,183","1,232",304,110,31,26
75,06/19/2020 10:00:00 AM,"1,188","1,240",307,109,32,25
76,06/20/2020 10:00:00 AM,"1,195","1,250",311,110,32,25
77,06/21/2020 10:00:00 AM,"1,196","1,254",315,110,33,29
78,06/22/2020 10:00:00 AM,"1,199","1,262",318,110,33,23
79,06/23/2020 10:00:00 AM,"1,204","1,268",320,114,32,25
80,06/24/2020 10:00:00 AM,"1,215","1,266",324,115,32,26
81,06/25/2020 10:00:00 AM,"1,224","1,269",328,116,33,31
82,06/26/2020 10:00:00 AM,"1,229","1,278",331,116,34,27
83,06/27/2020 10:00:00 AM,"1,233","1,285",335,118,35,24
84,06/28/2020 10:00:00 AM,"1,238","1,286",336,119,36,27
85,06/29/2020 10:00:00 AM,"1,241","1,289",338,119,36,25
86,06/30/2020 10:00:00 AM,"1,242","1,295",340,120,34,31
87,07/01/2020 10:00:00 AM,"1,246","1,310",340,120,33,28
88,07/02/2020 10:00:00 AM,"1,246","1,316",342,120,33,29
89,07/03/2020 10:00:00 AM,"1,251","1,321",344,121,34,28
90,07/04/2020 10:00:00 AM,"1,258","1,324",346,121,35,27
91,07/05/2020 10:00:00 AM,"1,258","1,327",347,121,35,30
92,07/06/2020 10:00:00 AM,"1,263","1,329",350,122,35,22
93,07/07/2020 10:00:00 AM,"1,266","1,335",351,123,35,30
94,07/08/2020 10:00:00 AM,"1,270","1,344",356,122,34,23
95,07/09/2020 10:00:00 AM,"1,276","1,348",355,123,34,24
96,07/10/2020 10:00:00 AM,"1,286","1,352",358,123,34,19
97,07/11/2020 10:00:00 AM,"1,289","1,355",359,123,34,19
98,07/12/2020 10:00:00 AM,"1,295","1,357",361,123,35,17
99,07/13/2020 10:00:00 AM,"1,298","1,357",363,124,35,17
100,07/14/2020 10:00:00 AM,"1,301","1,357",366,124,35,19
101,07/15/2020 10:00:00 AM,"1,305","1,363",368,124,36,13
102,07/16/2020 10:00:00 AM,"1,308","1,365",370,124,36,12
103,07/17/2020 10:00:00 AM,"1,310","1,367",372,124,36,18
104,07/18/2020 10:00:00 AM,"1,318","1,372",375,124,37,12
105,07/19/2020 10:00:00 AM,"1,322","1,374",374,124,37,16
106,07/20/2020 10:00:00 AM,"1,327","1,375",377,124,37,12
107,07/21/2020 10:00:00 AM,"1,332","1,385",379,125,36,15
108,07/22/2020 10:00:00 AM,"1,336","1,387",380,125,36,12
109,07/23/2020 10:00:00 AM,"1,340","1,388",383,125,36,9
110,07/24/2020 10:00:00 AM,"1,342","1,392",384,125,36,14
111,07/25/2020 10:00:00 AM,"1,349","1,397",384,125,35,14
112,07/26/2020 10:00:00 AM,"1,354","1,397",385,125,35,13
113,07/27/2020 10:00:00 AM,"1,357","1,400",386,125,35,12
114,07/28/2020 10:00:00 AM,"1,361","1,405",386,125,35,15
115,07/29/2020 10:00:00 AM,"1,365","1,409",386,126,35,26
116,07/30/2020 10:00:00 AM,"1,371","1,420",387,127,35,17
117,07/31/2020 10:00:00 AM,"1,375","1,422",389,127,35,14
118,08/01/2020 10:00:00 AM,"1,380","1,424",391,127,35,17
119,08/02/2020 10:00:00 AM,"1,385","1,427",392,127,37,13
120,08/03/2020 10:00:00 AM,"1,385","1,430",392,127,37,18
121,08/04/2020 10:00:00 AM,"1,389","1,435",393,127,36,16
122,08/05/2020 10:00:00 AM,"1,397","1,439",394,127,36,9
123,08/06/2020 10:00:00 AM,"1,401","1,442",395,128,36,13
124,08/07/2020 10:00:00 AM,"1,406","1,446",397,128,35,17
125,08/08/2020 10:00:00 AM,"1,412","1,452",397,128,36,15
126,08/09/2020 10:00:00 AM,"1,415","1,456",398,129,36,14
127,08/10/2020 10:00:00 AM,"1,417","1,457",400,129,36,15
128,08/11/2020 10:00:00 AM,"1,423","1,461",401,129,36,17
129,08/12/2020 10:00:00 AM,"1,426","1,465",405,129,37,12
130,08/13/2020 10:00:00 AM,"1,430","1,472",405,129,37,10
131,08/14/2020 10:00:00 AM,"1,433","1,475",406,130,36,15
132,08/15/2020 10:00:00 AM,"1,437","1,477",407,130,37,11
133,08/16/2020 10:00:00 AM,"1,440","1,480",408,130,37,7
134,08/17/2020 10:00:00 AM,"1,439","1,482",408,130,37,8
135,08/18/2020 10:00:00 AM,"1,441","1,485",409,130,37,9
136,08/19/2020 10:00:00 AM,"1,443","1,489",412,130,37,11
137,08/20/2020 10:00:00 AM,"1,447","1,493",412,130,37,12
138,08/21/2020 10:00:00 AM,"1,452","1,496",412,130,38,8
139,08/22/2020 10:00:00 AM,"1,453","1,501",412,131,38,11
140,08/23/2020 10:00:00 AM,"1,455","1,505",412,131,38,11
141,08/24/2020 10:00:00 AM,"1,459","1,505",413,131,38,8
142,08/25/2020 10:00:00 AM,"1,462","1,508",413,132,38,11
143,08/26/2020 10:00:00 AM,"1,464","1,513",413,132,39,13
144,08/27/2020 10:00:00 AM,"1,468","1,517",415,132,39,9
145,08/28/2020 10:00:00 AM,"1,471","1,520",415,132,39,16
146,08/29/2020 10:00:00 AM,"1,479","1,522",418,133,39,12
147,08/30/2020 10:00:00 AM,"1,486","1,524",419,133,39,8
148,08/31/2020 10:00:00 AM,"1,486","1,526",420,133,39,8
149,09/01/2020 10:00:00 AM,"1,486","1,527",421,133,39,11
150,09/02/2020 10:00:00 AM,"1,488","1,530",423,133,39,10
151,09/03/2020 10:00:00 AM,"1,491","1,533",423,134,39,14
152,09/04/2020 10:00:00 AM,"1,490","1,539",424,135,41,16
153,09/05/2020 10:00:00 AM,"1,495","1,544",424,136,40,13
154,09/06/2020 10:00:00 AM,"1,497","1,546",425,136,40,11
155,09/07/2020 10:00:00 AM,"1,501","1,547",425,136,40,11
156,09/08/2020 10:00:00 AM,"1,501","1,550",426,136,40,10
157,09/09/2020 10:00:00 AM,"1,502","1,551",428,136,40,15
158,09/10/2020 10:00:00 AM,"1,507","1,555",428,136,41,12
159,09/11/2020 10:00:00 AM,"1,509","1,560",428,136,41,11
160,09/12/2020 10:00:00 AM,"1,511","1,564",429,136,41,12
161,09/13/2020 10:00:00 AM,"1,513","1,566",430,136,41,9
162,09/14/2020 10:00:00 AM,"1,514","1,567",430,136,40,9
163,09/15/2020 10:00:00 AM,"1,515","1,568",431,136,40,16
164,09/16/2020 10:00:00 AM,"1,520","1,572",431,136,40,13
165,09/17/2020 10:00:00 AM,"1,523","1,576",432,137,40,9
166,09/18/2020 10:00:00 AM,"1,528","1,577",433,137,40,9
167,09/19/2020 10:00:00 AM,"1,532","1,579",433,137,40,11
168,09/20/2020 10:00:00 AM,"1,534","1,582",433,137,40,9
169,09/21/2020 10:00:00 AM,"1,534","1,585",433,137,40,10
170,09/22/2020 10:00:00 AM,"1,537","1,588",435,138,40,10
171,09/23/2020 10:00:00 AM,"1,542","1,589",436,139,40,10
172,09/24/2020 10:00:00 AM,"1,543","1,593",436,139,42,12
173,09/25/2020 10:00:00 AM,"1,547","1,597",437,140,42,9
174,09/26/2020 10:00:00 AM,"1,548","1,601",438,141,42,10
175,09/27/2020 10:00:00 AM,"1,552","1,600",438,142,42,16
176,09/28/2020 10:00:00 AM,"1,555","1,603",439,143,42,11
177,09/29/2020 10:00:00 AM,"1,555","1,607",440,143,42,15
178,09/30/2020 10:00:00 AM,"1,558","1,610",441,143,42,11
179,10/01/2020 10:00:00 AM,"1,559","1,611",441,143,43,8
180,10/02/2020 10:00:00 AM,"1,558","1,614",442,144,42,6
181,10/03/2020 10:00:00 AM,"1,559","1,614",441,145,41,13
182,10/04/2020 10:00:00 AM,"1,560","1,617",442,145,41,9
183,10/05/2020 10:00:00 AM,"1,560","1,619",442,145,41,10
184,10/06/2020 10:00:00 AM,"1,563","1,622",442,145,41,10
185,10/07/2020 10:00:00 AM,"1,568","1,625",442,144,41,9
186,10/08/2020 10:00:00 AM,"1,572","1,628",442,144,41,8
187,10/09/2020 10:00:00 AM,"1,574","1,632",443,144,41,11
188,10/10/2020 10:00:00 AM,"1,574","1,633",443,144,41,15
189,10/11/2020 10:00:00 AM,"1,580","1,638",443,144,42,7
190,10/12/2020 10:00:00 AM,"1,582","1,639",443,144,42,9
191,10/13/2020 10:00:00 AM,"1,583","1,642",446,144,42,11
192,10/14/2020 10:00:00 AM,"1,585","1,645",448,144,42,13
193,10/15/2020 10:00:00 AM,"1,587","1,653",448,144,42,9
194,10/16/2020 10:00:00 AM,"1,587","1,655",448,144,42,11
195,10/17/2020 10:00:00 AM,"1,589","1,659",448,144,43,8
196,10/18/2020 10:00:00 AM,"1,591","1,660",448,144,43,5
197,10/19/2020 10:00:00 AM,"1,591","1,661",448,144,43,8
198,10/20/2020 10:00:00 AM,"1,590","1,664",448,144,44,14
199,10/21/2020 10:00:00 AM,"1,593","1,670",448,144,44,13
200,10/22/2020 10:00:00 AM,"1,596","1,675",449,146,44,14
201,10/23/2020 10:00:00 AM,"1,597","1,679",449,146,45,16
202,10/24/2020 10:00:00 AM,"1,602","1,682",451,146,45,19
203,10/25/2020 10:00:00 AM,"1,606","1,687",453,146,46,12
204,10/26/2020 10:00:00 AM,"1,607","1,689",454,146,45,12
205,10/27/2020 10:00:00 AM,"1,608","1,694",454,146,45,15
206,10/28/2020 10:00:00 AM,"1,616","1,697",454,146,44,12
207,10/29/2020 10:00:00 AM,"1,617","1,705",454,147,43,14
208,10/30/2020 10:00:00 AM,"1,618","1,713",454,147,43,15
209,10/31/2020 10:00:00 AM,"1,619","1,719",455,146,45,16
210,11/01/2020 10:00:00 AM,"1,621","1,727",455,146,45,10
211,11/02/2020 10:00:00 AM,"1,622","1,726",456,147,44,12
212,11/03/2020 10:00:00 AM,"1,623","1,730",456,147,45,14
213,11/04/2020 10:00:00 AM,"1,622","1,738",457,147,46,15
214,11/05/2020 10:00:00 AM,"1,626","1,742",457,147,45,18
215,11/06/2020 10:00:00 AM,"1,631","1,744",461,147,45,18
216,11/07/2020 10:00:00 AM,"1,635","1,748",461,148,46,14
217,11/08/2020 10:00:00 AM,"1,638","1,751",462,148,45,19
218,11/09/2020 10:00:00 AM,"1,641","1,755",463,148,45,20
219,11/10/2020 10:00:00 AM,"1,642","1,761",464,150,46,21
220,11/11/2020 10:00:00 AM,"1,647","1,770",466,151,46,20
221,11/12/2020 10:00:00 AM,"1,658","1,772",467,151,47,17
222,11/13/2020 10:00:00 AM,"1,661","1,776",468,151,48,20
223,11/14/2020 10:00:00 AM,"1,665","1,784",469,152,48,26
224,11/15/2020 10:00:00 AM,"1,673","1,790",469,154,48,19
225,11/16/2020 10:00:00 AM,"1,677","1,791",470,155,48,19
226,11/17/2020 10:00:00 AM,"1,684","1,800",471,155,48,28
227,11/18/2020 10:00:00 AM,"1,687","1,814",472,155,48,25
228,11/19/2020 10:00:00 AM,"1,690","1,829",472,156,48,25
229,11/20/2020 10:00:00 AM,"1,692","1,845",473,156,47,32
230,11/21/2020 10:00:00 AM,"1,697","1,862",476,157,48,21
231,11/22/2020 10:00:00 AM,"1,702","1,869",476,157,48,27
232,11/23/2020 10:00:00 AM,"1,705","1,880",476,156,49,27
233,11/24/2020 10:00:00 AM,"1,710","1,900",476,157,50,32
234,11/25/2020 10:00:00 AM,"1,715","1,916",477,158,49,48
235,11/26/2020 10:00:00 AM,"1,725","1,938",481,158,50,40
236,11/27/2020 10:00:00 AM,"1,733","1,947",481,158,50,45
237,11/28/2020 10:00:00 AM,"1,741","1,970",481,159,50,46
238,11/29/2020 10:00:00 AM,"1,744","1,983",484,160,50,49
239,11/30/2020 10:00:00 AM,"1,750","1,991",488,160,50,47
